timestamp,date,datetime,price_usd,market_cap_usd,volume_usd,volatility,price_change,volume_change,price_ma,price_deviation,kmeans_cluster,dbscan_cluster
1771967009711,2026-02-24,2026-02-24 22:03:29,64455.45,1288530539629.5,45476605640.17,653.7388179528546,0.018543375204638224,-4.100966176397957,63808.355,1.0141226803292356,0,0
1771970574209,2026-02-24,2026-02-24 23:02:54,64045.71,1280945575751.43,45933533355.11,635.6842847441512,-0.6356948869335355,1.004753341872977,63786.50375,0.40636535122838674,0,0
1771974162249,2026-02-25,2026-02-25 00:02:42,64113.97,1281808870495.8,44949577977.16,608.4814996744368,0.10658012847386544,-2.1421286499844983,63761.27541666667,0.5531485702388236,0,0
1771977613956,2026-02-25,2026-02-25 01:00:13,64074.11,1281148417170.28,44864477921.16,583.0168318472914,-0.06217053787185289,-0.18932337038457536,63737.46166666666,0.5281796992386316,0,0
1771981299044,2026-02-25,2026-02-25 02:01:39,64233.59,1285355213214.29,44952908832.65,535.4144560686234,0.24889928240907633,0.1971067436589813,63707.964166666665,0.825055140607287,0,0
1771985025182,2026-02-25,2026-02-25 03:03:45,65942.42,1317703847787.14,45994833583.11,699.9149062351372,2.6603370604071808,2.317813857917095,63783.2475,3.3851717882505126,0,-1
1771988626366,2026-02-25,2026-02-25 04:03:46,65893.89,1317766163622.79,46605674287.9,820.99707718218,-0.07359450866376571,1.328063734998075,63859.40208333334,3.185886259961771,0,0
1771992168874,2026-02-25,2026-02-25 05:02:48,65390.04,1307733128867.03,45616141756.46,875.1768101670461,-0.7646384209522239,-2.123201834453259,63935.654166666674,2.274764921528841,0,0
1771995706902,2026-02-25,2026-02-25 06:01:46,65448.36,1308522186387.21,44224550630.11,917.1688667928668,0.08918789467020627,-3.050655037375949,64024.02125,2.2246942978452835,0,0
1771999329130,2026-02-25,2026-02-25 07:02:09,64880.51,1297817806882.77,44307872659.55,909.6833368288834,-0.8676306022030178,0.1884067294134928,64099.486666666664,1.2184548955826346,0,0
1772002931206,2026-02-25,2026-02-25 08:02:11,64881.88,1297273316831.16,43433451520.45,894.4649021000762,0.002111574030472241,-1.9735118989323341,64175.85916666667,1.100134602794753,0,0
1772006498149,2026-02-25,2026-02-25 09:01:38,65017.32,1299942735502.17,43315989553.43,882.4643148706027,0.20874857510293499,-0.2704412449576865,64253.67999999999,1.1884766755771916,0,0
1772010155156,2026-02-25,2026-02-25 10:02:35,65506.83,1309819829376.34,43732146767.07,897.5550866673594,0.7528916910140238,0.9607473312520654,64342.31458333333,1.8098749232255855,0,0
1772013755632,2026-02-25,2026-02-25 11:02:35,65544.01,1310512172251.99,43608362842.18,896.5461327588948,0.0567574404073401,-0.28305019085687055,64439.166666666664,1.7145524849017764,0,0
1772017361481,2026-02-25,2026-02-25 12:02:41,65383.61,1307058069756.46,43530434148.27,880.7572596883413,-0.244721066044018,-0.17870126010469667,64526.97291666667,1.3275643418754992,0,0
1772020989893,2026-02-25,2026-02-25 13:03:09,65410.96,1307561177810.54,43774005774.67,851.6031932379116,0.04183005496332104,0.5595432969273118,64618.78,1.2259284375223432,0,0
1772024590986,2026-02-25,2026-02-25 14:03:10,66060.99,1320733152104.18,43141456226.37,824.9765596891858,0.9937631247118217,-1.4450346435190164,64747.45583333333,2.0287039077610167,0,0
1772028127699,2026-02-25,2026-02-25 15:02:07,66244.51,1324534368235.58,43051858638.0,781.2560860797029,0.27780389001133,-0.2076832731372602,64886.57083333333,2.0927892308481604,0,0
1772031781279,2026-02-25,2026-02-25 16:03:01,66951.85,1335554067873.93,43949318220.29,826.7080944492146,1.067771502876247,2.0846012476168685,65032.60916666666,2.9511976498047026,0,0
1772035377383,2026-02-25,2026-02-25 17:02:57,67415.15,1347936355858.5,45849933070.95,926.781876373008,0.69198984045995,4.324560488363938,65176.44666666666,3.434834894855163,0,0
1772038981064,2026-02-25,2026-02-25 18:03:01,68273.93,1362772342516.52,45979990804.31,1099.9033249465651,1.2738679658800711,0.28365959260778784,65343.950000000004,4.4839346259293915,0,-1
1772042488020,2026-02-25,2026-02-25 19:01:28,68650.0,1372323024934.73,49717436598.15,1262.531600824281,0.5508251831995103,8.128417880174243,65528.730833333335,4.763207110794414,0,0
1772046226810,2026-02-25,2026-02-25 20:03:46,69340.36,1386966829735.98,51707428044.3,1459.159600008295,1.0056227239621185,4.0026026728498865,65733.45625,5.487165829653142,1,-1
1772049774362,2026-02-25,2026-02-25 21:02:54,69050.96,1380812528698.41,53159870295.97,1580.1443293052266,-0.417361548166173,2.8089624771621358,65925.43375000001,4.741002178085775,1,0
1772053365840,2026-02-25,2026-02-25 22:02:45,69161.64,1384455640403.87,54732368917.18,1678.7291559838068,0.16028741671367808,2.9580557899314686,66121.525,4.597769032096591,1,0
1772057025345,2026-02-25,2026-02-25 23:03:45,68978.7,1378793532470.18,52960228064.89,1715.1186352174527,-0.264510789507022,-3.2378296195649248,66327.06624999999,3.9978155222567353,1,0
1772060582721,2026-02-26,2026-02-26 00:03:02,68441.72,1365395903186.12,53953922501.46,1699.7583897876968,-0.7784721950399143,1.8763031672606623,66507.38916666666,2.908444997721881,1,0
1772064202991,2026-02-26,2026-02-26 01:03:22,67954.59,1359103150470.36,54802923569.4,1641.8074384895817,-0.7117442402090446,1.57356690408752,66669.07583333334,1.9282015696157686,1,0
1772067676297,2026-02-26,2026-02-26 02:01:16,68350.69,1366572435899.14,56102641944.97,1590.5589926265995,0.5828892500123972,2.371622334936374,66840.62166666666,2.2592074934072808,1,0
1772071378977,2026-02-26,2026-02-26 03:02:58,68260.21,1365374207210.69,53192407837.68,1603.9600058199937,-0.132376132559886,-5.187338789044182,66937.19625,1.9765000987773114,1,0
1772074972735,2026-02-26,2026-02-26 04:02:52,68268.59,1365043361353.2,52738206060.0,1610.0360760479418,0.012276551742207431,-0.8538845977155707,67036.14208333332,1.8384827622308615,1,0
1772078556365,2026-02-26,2026-02-26 05:02:36,68208.53,1363728560920.77,51840293421.41,1587.379819969013,-0.08797603700324563,-1.7025847211572631,67153.57916666666,1.5709525038346532,1,0
1772082024028,2026-02-26,2026-02-26 06:00:24,68588.07,1372262650114.37,52489772359.14,1570.0189516045823,0.5564406680513612,1.2528457978630225,67284.40041666667,1.9375510151836188,1,0
1772085747972,2026-02-26,2026-02-26 07:02:27,68433.73,1368023123731.96,52174971935.5,1499.4242498939361,-0.22502455601974836,-0.5997366905806101,67432.45125,1.4848618601863413,1,0
1772089370879,2026-02-26,2026-02-26 08:02:50,68178.63,1363282768691.96,54769544599.82,1403.5481931663207,-0.3727693931048215,4.97283001422113,67569.81583333333,0.9010149859937011,1,0
1772092945249,2026-02-26,2026-02-26 09:02:25,67849.39,1357122289506.46,55372348232.49,1294.4283179593895,-0.48290791410739997,1.1006183036109896,67687.81875,0.23870063031096503,0,0
1772096582267,2026-02-26,2026-02-26 10:03:02,67957.28,1359106148113.24,58535120046.58,1208.7224445891036,0.15901395723676437,5.711825333486997,67789.92083333334,0.24687912983130167,0,0
1772100191397,2026-02-26,2026-02-26 11:03:11,68571.6,1371061400997.88,59345453557.24,1118.7766307064403,0.903979676643929,1.384354401281085,67916.07041666667,0.9652054061897978,0,0
1772103721784,2026-02-26,2026-02-26 12:02:01,68299.3,1365700571204.29,60068013963.37,981.7353073289788,-0.3971031739087416,1.217549724231315,68037.5575,0.3847029635066008,0,0
1772107219411,2026-02-26,2026-02-26 13:00:19,68033.58,1359992117253.75,59927379715.69,807.0857214743414,-0.3890523036107263,-0.23412501662825047,68146.83333333333,-0.1661901629080247,0,0
1772110956758,2026-02-26,2026-02-26 14:02:36,68170.72,1362965513546.52,59106793690.76,673.9333210633306,0.20157692715860875,-1.3693006916422168,68234.73875,-0.09382134550929588,0,0
1772114456908,2026-02-26,2026-02-26 15:00:56,67911.73,1358458364925.28,57617092809.35,530.5365355778227,-0.37991383984209426,-2.520354748396514,68304.20625,-0.5746004112301751,0,0
1772118156508,2026-02-26,2026-02-26 16:02:36,67688.05,1353004101312.85,55260734857.55,466.34497032109584,-0.32936872613905654,-4.0896856070072545,68334.88125,-0.9465608751606674,0,0
1772121769547,2026-02-26,2026-02-26 17:02:49,67386.86,1346100725646.28,57228241546.57,468.80008218459585,-0.44496776018809747,3.560406306741659,68333.7025,-1.3856156850274561,0,0
1772125397215,2026-02-26,2026-02-26 18:03:17,66641.59,1333199659566.59,56002762702.92,582.4774900811391,-1.1059574522392146,-2.1413882560986197,68265.68833333334,-2.37908438775723,0,0
1772128987311,2026-02-26,2026-02-26 19:03:07,66832.32,1335266997186.84,53661810773.23,645.136483907573,0.2862026551287533,-4.180065083767626,68189.95166666668,-1.990955607804485,0,0
1772132549890,2026-02-26,2026-02-26 20:02:29,67323.79,1345267540081.13,52447134366.2,619.6065312424615,0.7353777334080158,-2.2635770010876466,68105.92791666667,-1.1484138614537127,0,0
1772136187535,2026-02-26,2026-02-26 21:03:07,67584.88,1352169321613.77,51883171798.47,594.1317810380834,0.3878123914295539,-1.0752972007817552,68044.84125,-0.6759678493628538,0,0
1772139767888,2026-02-26,2026-02-26 22:02:47,67383.36,1346903427434.04,51025079451.13,558.6235227541719,-0.29817320086978905,-1.6538933869985728,67970.74625000001,-0.864175078848734,0,0
1772143336975,2026-02-26,2026-02-26 23:02:16,67448.47,1349401125691.14,48598892992.19,524.8859261566954,0.09662622938364507,-4.754890114896748,67906.98666666668,-0.6752128008821634,0,0
1772146983518,2026-02-27,2026-02-27 00:03:03,67559.78,1350758050571.61,47077305655.44,516.6288743394931,0.16502968859040124,-3.1309094571238982,67870.23916666668,-0.45743048864804764,0,0
1772150453072,2026-02-27,2026-02-27 01:00:53,67461.33,1348829240636.79,45335111330.5,522.9006878349385,-0.14572279542650612,-3.7007095046839966,67849.68666666666,-0.57237798101351,0,0
1772154250117,2026-02-27,2026-02-27 02:04:10,67222.79,1344183625784.78,44299769917.95,526.5873091252187,-0.3535951633328427,-2.283751781267729,67802.69083333334,-0.855277019548987,0,0
1772157800001,2026-02-27,2026-02-27 03:03:20,67347.65,1346283196562.85,44699139281.55,525.0592622492945,0.18574057994320547,0.9015156610061359,67764.6675,-0.6153907565472844,0,0
1772161264048,2026-02-27,2026-02-27 04:01:04,67330.59,1346293830354.88,44135913616.04,520.8117196065925,-0.02533124763818284,-1.2600369370926123,67725.58416666667,-0.583227404424634,0,0
1772164997716,2026-02-27,2026-02-27 05:03:17,67617.94,1352946151021.41,44350681030.0,510.8581393579226,0.4267748136471239,0.4866046635589427,67700.97624999999,-0.12265148096736657,0,0
1772168559543,2026-02-27,2026-02-27 06:02:39,67736.14,1355085449033.27,44751513709.99,474.8688159550384,0.17480568026768672,0.903780214150185,67665.47916666667,0.10442670945887102,0,0
1772172214069,2026-02-27,2026-02-27 07:03:34,67721.51,1353887624733.94,44511259982.15,446.1576741067785,-0.021598514471010688,-0.536861678907552,67635.80333333333,0.1267178956155398,0,0
1772175780908,2026-02-27,2026-02-27 08:03:00,67664.13,1352985139839.69,43536060703.75,431.0460194351584,-0.08472935703883744,-2.1909046807281563,67614.36583333333,0.07359999025849279,0,0
1772179403778,2026-02-27,2026-02-27 09:03:23,67693.94,1353793212305.3,44696131453.17,428.5214345260351,0.044055838743517484,2.6646203874850727,67607.88875,0.12727989527701983,0,0
1772183011409,2026-02-27,2026-02-27 10:03:31,67938.64,1359257781653.02,44011373648.88,427.87706093157135,0.36147991976829275,-1.5320292428606441,67607.11208333333,0.4903743207638096,0,0
1772186628337,2026-02-27,2026-02-27 11:03:48,67368.87,1348035386710.31,44413878286.99,377.4664374127536,-0.8386538205651495,0.9145468653652067,67556.99833333334,-0.27847349345673456,0,0
1772190049932,2026-02-27,2026-02-27 12:00:49,66633.33,1332262979071.28,45533128781.34,388.0591833808818,-1.0918099116104973,2.5200467455638975,67487.58291666667,-1.265792727710358,0,0
1772193724991,2026-02-27,2026-02-27 13:02:04,66137.86,1322398917730.71,46709953273.39,458.61169323929386,-0.7435768255916408,2.5845456342378004,67408.59458333334,-1.8851224998652105,0,0
1772197398856,2026-02-27,2026-02-27 14:03:18,65904.76,1315985772727.38,48034988639.96,523.5418860758189,-0.3524456340135651,2.8367302335214672,67314.17958333333,-2.0937930047687927,0,0
1772201017476,2026-02-27,2026-02-27 15:03:37,66256.92,1324462913050.68,48699148079.21,549.736772426497,0.534346836252797,1.3826576378067168,67245.22916666667,-1.469708972538644,0,0
1772204635943,2026-02-27,2026-02-27 16:03:55,66063.83,1317306250731.04,48021136376.06,591.2600838217959,-0.29142616348600825,-1.392245511250434,67177.55333333333,-1.657880166916858,0,0
1772208067904,2026-02-27,2026-02-27 17:01:07,66113.33,1322888526232.71,46472683328.32,627.6844589283738,0.07492753599056545,-3.224523958812331,67124.48958333333,-1.5063944465126966,0,0
1772211875419,2026-02-27,2026-02-27 18:04:35,65521.39,1311185909815.43,44691274263.98,702.3615404645195,-0.8953413782061825,-3.8332390917793724,67077.81458333334,-2.320326911366104,0,0
1772215378562,2026-02-27,2026-02-27 19:02:58,65695.35,1312456359285.48,45165581292.29,755.9401883468962,0.2655010829287985,1.0612967209401747,67030.44083333333,-1.991767944138894,0,0
1772218937533,2026-02-27,2026-02-27 20:02:17,65299.54,1305434059274.45,44100852170.7,830.9889131669131,-0.6024931749355256,-2.357390497643741,66946.09708333334,-2.459526626748285,0,0
1772222575766,2026-02-27,2026-02-27 21:02:55,65405.87,1308457725908.69,43231649148.33,875.9813923388543,0.1628342251721815,-1.9709438244086441,66855.30500000001,-2.168017930663849,0,0
1772226211780,2026-02-27,2026-02-27 22:03:31,65588.53,1311486751015.09,42738275277.47,905.0714455955655,0.279271569967654,-1.1412330562898698,66780.52041666667,-1.7849372979267437,0,0
1772229712876,2026-02-27,2026-02-27 23:01:52,65517.65,1309150736408.44,41872963606.93,928.6244704317429,-0.10806767585734844,-2.024676159536465,66700.06958333333,-1.7727411541243514,0,0
1772233243964,2026-02-28,2026-02-28 00:00:43,65612.8,1311735886262.66,43659123869.23,935.2749974402307,0.14522804160406189,4.265664783288448,66618.94541666667,-1.5102992255037255,0,0
